Program,Program Link,Station Name,MEA Contribution,Address,City,State,ZipCode,Location,Access
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Antwerpen Nissan - Security,,1701 Woodlawn Dr,Baltimore,MD,21207,"1701 Woodlawn Dr
Baltimore, Maryland 21207
(39.31272861600047, -76.73500466899964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Harper's Choice Village Center,,5440 Old Tucker Row,Columbia,MD,21044,"5440 Old Tucker Row
Columbia, Maryland 21044
(39.222329423000474, -76.88737999999967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Kohl's,,12024 Cherry Hill Rd,Silver Spring,MD,20904,"12024 Cherry Hill Rd
Silver Spring, Maryland 20904
(39.053290638000476, -76.95337730299963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Criswell Nissan,,19574 Amaranth Dr,Germantown,MD,20874,"19574 Amaranth Dr
Germantown, Maryland 20874
(39.176279758000476, -77.25063273899963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland-College Park - Lot EE,,Paint Branch Dr,College Park,MD,20740,"Paint Branch Dr
College Park, Maryland 20740
(38.998784241000465, -76.94153593399966)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,"Windsor Corporate Center 5C, LLC",400.00,2560 Lord Baltimore Drive,Baltimore,MD,21244,"2560 Lord Baltimore Drive
Baltimore, Maryland 21244
(39.325725143000454, -76.75097998499967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MOM's Organic Market,,5566 Randolph Rd,Rockville,MD,20852,"5566 Randolph Rd
Rockville, Maryland 20852
(39.05328797700048, -77.11184382199963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Potomac Place,,10122 River Rd,Potomac,MD,20854,"10122 River Rd
Potomac, Maryland 20854
(39.017768427000476, -77.20858152299968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Crain Memorial Welcome Center - Charles County,,12480 Crain Hwy,Newburg,MD,20664,"12480 Crain Hwy
Newburg, Maryland 20664
(38.369378381000445, -76.96143061299966)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,University of Maryland - College Park - Regents Dr,31990.75,Regents Dr,College Park,MD,20740,"Regents Dr
College Park, Maryland 20740
(38.982151102000444, -76.93798877099965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland-College Park - Union Lane,,Library Ln,College Park,MD,20740,"Library Ln
College Park, Maryland 20740
(38.984453879000455, -76.94538865799967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,240.00,,Bethesda,MD,20816,"Bethesda, Maryland 20816
(38.95808341300045, -77.11365979399966)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Under Armour - Cheer Building,,1450 Beason St,Baltimore,MD,21230,"1450 Beason St
Baltimore, Maryland 21230
(39.271836876000464, -76.59289210399965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,City of Towson - Glen Garage,,Cross Campus Dr,Towson,MD,21252,"Cross Campus Dr
Towson, Maryland 21252
(39.39000400500049, -76.60532598299966)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,109.00,,Chester,MD,21619,"Chester, Maryland 21619
(38.96937173700047, -76.28169986599966)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MedImmune Ventures,,1 MedImmune Way,Gaithersburg,MD,20878,"1 MedImmune Way
Gaithersburg, Maryland 20878
(39.12622556500048, -77.23168563299964)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Chevron,,12301 Middle Brook Road,Germantown,MD,20874,"12301 Middle Brook Road
Germantown, Maryland 20874
(39.17541764700047, -77.25404491699965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - University Plaza Garage,,500 W Redwood St,Baltimore,MD,21201,"500 W Redwood St
Baltimore, Maryland 21201
(39.28861134800047, -76.62235103699965)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,178.00,,Columbia,MD,21045,"Columbia, Maryland 21045
(39.205861697000444, -76.82756725299964)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Clinton Electric,,1830 York Rd,Lutherville,MD,21093,"1830 York Rd
Lutherville, Maryland 21093
(39.43268680100044, -76.62269066399966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1801 York Rd,Lutherville,MD,21093,"1801 York Rd
Lutherville, Maryland 21093
(39.4306958090005, -76.62168036199967)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,MDOT State Highway Administration,12796.30,1400 Old Philadelphia Rd,Aberdeen,MD,21001,"1400 Old Philadelphia Rd
Aberdeen, Maryland 21001
(39.49104474000046, -76.20481668699966)",Private
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Bethesda Row,,7115 Arlington Rd,Bethesda,MD,20814,"7115 Arlington Rd
Bethesda, Maryland 20814
(38.981069540000476, -77.09838743899968)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,Gate APG Lot D1,800.00,6180 Guardian Gateway,Aberdeen,MD,21005,"6180 Guardian Gateway
Aberdeen, Maryland 21005
(39.48619555300047, -76.15627104899966)",Public
E-85 Refueling Stations,http://www.afdc.energy.gov/locator/stations/,Navy Exchange - Annapolis,,321 Kinkaid Rd,Annapolis,MD,21402,"321 Kinkaid Rd
Annapolis, Maryland 21402
(38.99420557400049, -76.47024058999966)",Private
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MedImmune Ventures - Visitor's Parking Lot,,1 Medimmune Way,Gaithersburg,MD,20878,"1 Medimmune Way
Gaithersburg, Maryland 20878
(39.12622556500048, -77.23168563299964)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,President Street Garage,400.00,815 E Pratt St,Baltimore,MD,21202,"815 E Pratt St
Baltimore, Maryland 21202
(39.28720340600046, -76.60342150499963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,5 Choke Cherry,,7 Choke Cherry Ln,Rockville,MD,20850,"7 Choke Cherry Ln
Rockville, Maryland 20850
(39.113583718000484, -77.18378847699967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Towne Place Suites,,5050 Westview Dr,Frederick,MD,21703,"5050 Westview Dr
Frederick, Maryland 21703
(39.37698002700046, -77.41334848499963)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Severn,MD,21144,"Severn, Maryland 21144
(39.126261196000485, -76.69088641399964)",
Biodiesel Refueling Stations,http://energy.maryland.gov/Transportation/biodieselRefueling.html,Baltimore Biodiesel Cooperative,,10475 Little Patuxent Pkwy,Columbia,MD,21044,"10475 Little Patuxent Pkwy
Columbia, Maryland 21044
(39.2115137130005, -76.86301920699964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Charles County Public Library - Potomac Branch,,3225 Ruth B Swann Dr,Indian Head,MD,20640,"3225 Ruth B Swann Dr
Indian Head, Maryland 20640
(38.623210378000465, -77.08624250799966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,3005 Emmorton Rd,Abingdon,MD,21009,"3005 Emmorton Rd
Abingdon, Maryland 21009
(39.47668998500046, -76.30971754399962)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Element Hotels - Arundel Mills,,7522 Teague Rd,Hanover,MD,21076,"7522 Teague Rd
Hanover, Maryland 21076
(39.154914334000466, -76.71646865899964)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Office building,6398.15,1101 Wootton Parkway,Rockville,MD,20852,"1101 Wootton Parkway
Rockville, Maryland 20852
(39.0670583860005, -77.15583959899965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Maryland Institute College of Art,,1515 W Mt Royal Ave,Baltimore,MD,21217,"1515 W Mt Royal Ave
Baltimore, Maryland 21217
(39.30976403900047, -76.62326154899966)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,92.00,,Columbia,MD,21045,"Columbia, Maryland 21045
(39.205861697000444, -76.82756725299964)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,98.00,,Olney,MD,20832,"Olney, Maryland 20832
(39.15280049000046, -77.07121777999964)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland Medical Center - Paca Pratt,,110 S Paca St,Baltimore,MD,21201,"110 S Paca St
Baltimore, Maryland 21201
(39.28658869800046, -76.62211622499967)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,209.80,,Bowie,MD,20716,"Bowie, Maryland 20716
(38.93107051400045, -76.72551610799968)",
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,BWI Daily Garage with solar array,12796.30,7062 Elm Road,Linthicum Heights,MD,21240,"7062 Elm Road
Linthicum Heights, Maryland 21240
(39.18851128500046, -76.67579522499966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,eVgo - FedEx Field Convenience Station,,1600 FedEx Way,Landover,MD,20785,"1600 FedEx Way
Landover, Maryland 20785
(38.909088486000485, -76.86362613099965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,CMT Advisory Service,,576-626 Pleasant Hill Rd,Owings Mills,MD,21117,"576-626 Pleasant Hill Rd
Owings Mills, Maryland 21117
(39.41086185600045, -76.81197812599964)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Maple Lawn,1200.00,"8160 Maple Law Blvd.,",Fulton,MD,20759,"8160 Maple Law Blvd.,
Fulton, Maryland 20759
(39.15392150100047, -76.92817585399968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,McHenry Row - SemaCharge,,1700 Whetstone Way,Baltimore,MD,21230,"1700 Whetstone Way
Baltimore, Maryland 21230
(39.269038380000495, -76.59975479199966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MOM's Organic Market - College Park,,9827 Rhode Island Ave,College Park,MD,20740,"9827 Rhode Island Ave
College Park, Maryland 20740
(39.01377643000046, -76.92139116899966)",Public
Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/index.html,One Irvington Centre Associate,400.00,702 King Farm Blvd,Rockville,MD,20850,"702 King Farm Blvd
Rockville, Maryland 20850
(39.11126046600049, -77.17880349199964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,11745 Rousby Hall Rd,Lusby,MD,20657,"11745 Rousby Hall Rd
Lusby, Maryland 20657
(38.37333786200048, -76.44258934599964)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,209.99,,Owings,MD,20736,"Owings, Maryland 20736
(38.696640087000446, -76.62067981499968)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,National Institute of Health,,5635 Fishers Ln,Rockville,MD,20852,"5635 Fishers Ln
Rockville, Maryland 20852
(39.06279793300047, -77.11482738599966)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Millersville,MD,21108,"Millersville, Maryland 21108
(39.10043013900048, -76.62169654699966)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,2204 Rolling Rd,Baltimore,MD,21244,"2204 Rolling Rd
Baltimore, Maryland 21244
(39.32022592900046, -76.75815987599964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MedImmune Ventures - Visitor's Parking Lot,,200 Orchard Ridge Dr,Gaithersburg,MD,20878,"200 Orchard Ridge Dr
Gaithersburg, Maryland 20878
(39.12744865100046, -77.23303175199965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - Pratt Garage,,646 W Pratt St,Baltimore,MD,21201,"646 W Pratt St
Baltimore, Maryland 21201
(39.28617770800048, -76.62495170199963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,8606 Philadelphia Rd,Rosedale,MD,21237,"8606 Philadelphia Rd
Rosedale, Maryland 21237
(39.33369503500046, -76.49552653099965)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,St. John's Properties,12796.30,2560 Lord Baltimore Drive,Baltimore,MD,21244,"2560 Lord Baltimore Drive
Baltimore, Maryland 21244
(39.325725143000454, -76.75097998499967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Academy Ford,,13401 Baltimore Ave,Laurel,MD,20707,"13401 Baltimore Ave
Laurel, Maryland 20707
(39.07408785700045, -76.87060061299968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Waldorf Ford,,2440 Crain Hwy,Waldorf,MD,20601,"2440 Crain Hwy
Waldorf, Maryland 20601
(38.644096257000456, -76.89202302899963)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,240.00,,Bethesda,MD,20817,"Bethesda, Maryland 20817
(39.002724000000455, -77.13874785599967)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,4020 Eastern Ave,Baltimore,MD,21224,"4020 Eastern Ave
Baltimore, Maryland 21224
(39.28685755800046, -76.56256529699965)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,"City of Annapolis, Knighton Garage",12796.30,1 Colonial Avenue,Annapolis,MD,21412,"1 Colonial Avenue
Annapolis, Maryland 21412
(38.97688928500048, -76.49911292299964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Passport Nissan Marlow Heights,,5000 Auth Way,Marlow Heights,MD,20746,"5000 Auth Way
Marlow Heights, Maryland 20746
(38.82616606300047, -76.92377467999967)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,West Street Garage,14929.56,40 E West St,Baltimore,MD,21230,"40 E West St
Baltimore, Maryland 21230
(39.27590769200049, -76.61318340799966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Nationwide Motor Sales Corp,,2085 York Rd,Timonium,MD,21093,"2085 York Rd
Timonium, Maryland 21093
(39.43994486300045, -76.62592054799967)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Citgo,,2042 West St,Annapolis,MD,21401,"2042 West St
Annapolis, Maryland 21401
(38.98366766200047, -76.53845663999965)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,6301 York Rd,Baltimore,MD,21212,"6301 York Rd
Baltimore, Maryland 21212
(39.37139005400047, -76.60978533699966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Maryland Transit Authority - Falls Road,,3 Railroad Ave,Baltimore,MD,21209,"3 Railroad Ave
Baltimore, Maryland 21209
(39.37609743700045, -76.65067549699967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,The Residences at?Arundel Preserve,,7789 Arundel Mills Blvd,Hanover,MD,21076,"7789 Arundel Mills Blvd
Hanover, Maryland 21076
(39.15372458800044, -76.74284767499967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Owen Brown Community Center,,6800 Cradlerock Way,Columbia,MD,21045,"6800 Cradlerock Way
Columbia, Maryland 21045
(39.19441320800047, -76.84114671599963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Bob Bell Nissan,,7900 Eastern Ave,Baltimore,MD,21224,"7900 Eastern Ave
Baltimore, Maryland 21224
(39.29592776700048, -76.50846738999968)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,156.33,,Baltimore,MD,21209,"Baltimore, Maryland 21209
(39.37418286500048, -76.66979575799968)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,159.80,,Annapolis,MD,21409,"Annapolis, Maryland 21409
(39.02726024600048, -76.45412706399964)",
Biodiesel Refueling Stations,http://energy.maryland.gov/Transportation/biodieselRefueling.html,Cato Pacific Pride Fuel,,2229 Northwood Drive,Salisbury,MD,21801,"2229 Northwood Drive
Salisbury, Maryland 21801
(38.403823945000454, -75.57810842699968)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Harbor East - Legg Mason,12796.30,100 International Dr,Baltimore,MD,21202,"100 International Dr
Baltimore, Maryland 21202
(39.28279746800047, -76.60191884199963)",Public
Biodiesel Refueling Stations,http://energy.maryland.gov/Transportation/biodieselRefueling.html,Baltimore Biodiesel Cooperative,,2800 Sisson St,Baltimore,MD,21211,"2800 Sisson St
Baltimore, Maryland 21211
(39.31983862700048, -76.62574288699966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Norris Nissan West,,8569 Baltimore National Pike,Ellicott City,MD,21043,"8569 Baltimore National Pike
Ellicott City, Maryland 21043
(39.28332564900046, -76.80905632299965)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,98.00,,Nottingham,MD,21236,"Nottingham, Maryland 21236
(39.38927306900047, -76.48624968999968)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Chevy Chase Nissan,,7701 Wisconsin Ave,Bethesda,MD,20814,"7701 Wisconsin Ave
Bethesda, Maryland 20814
(38.986908206000464, -77.09473709399964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Indian Head Town Hall,,4195 Indian Head Hwy,Indian Head,MD,20640,"4195 Indian Head Hwy
Indian Head, Maryland 20640
(38.59974367200044, -77.16433655299966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,MedImmune Ventures,,1 MedImmune Way,Gaithersburg,MD,20878,"1 MedImmune Way
Gaithersburg, Maryland 20878
(39.12622556500048, -77.23168563299964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,6301 York Rd,Baltimore,MD,21212,"6301 York Rd
Baltimore, Maryland 21212
(39.37139005400047, -76.60978533699966)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,169.80,,Potomac,MD,20854,"Potomac, Maryland 20854
(39.03906128100044, -77.19744887999963)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Carmax Nissan - White Marsh,,10201 Philadelphia Rd,White Marsh,MD,21162,"10201 Philadelphia Rd
White Marsh, Maryland 21162
(39.3697381450005, -76.44686839999963)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Darcars Nissan,,15911 Indianola Dr,Rockville,MD,20855,"15911 Indianola Dr
Rockville, Maryland 20855
(39.1135891080005, -77.16059004899967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,LifeBridge Health - Visitor Lot J,,5401 Old Court Rd,Randallstown,MD,21133,"5401 Old Court Rd
Randallstown, Maryland 21133
(39.35955543300048, -76.78195821699967)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Chesapeake Bay Foundation,12796.30,6 Herndon Ave,Annapolis,MD,21403,"6 Herndon Ave
Annapolis, Maryland 21403
(38.93521820400048, -76.46362090599968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Veterans Affairs Maryland Health Care,,10 N Greene St,Baltimore,MD,21201,"10 N Greene St
Baltimore, Maryland 21201
(39.289758178000454, -76.62374597199965)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,218.24,,Severna Park,MD,21146,"Severna Park, Maryland 21146
(39.08101230900047, -76.55652580899965)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Tischer Nissan,,3510 Ft Meade Rd,Laurel,MD,20724,"3510 Ft Meade Rd
Laurel, Maryland 20724
(39.10104704000048, -76.82164279899968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,LifeBridge Health - Main Lot,,2401 W Belvedere Ave,Baltimore,MD,21215,"2401 W Belvedere Ave
Baltimore, Maryland 21215
(39.35468514100046, -76.66225112699965)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,169.80,,Olney,MD,20832,"Olney, Maryland 20832
(39.15280049000046, -77.07121777999964)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland-College Park - Stadium Garage,,Stadium Dr,College Park,MD,20740,"Stadium Dr
College Park, Maryland 20740
(38.99016211100047, -76.93725808199963)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,199.80,,Glen Burnie,MD,21060,"Glen Burnie, Maryland 21060
(39.1643842740005, -76.59467930199963)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,98.00,,Baltimore,MD,21209,"Baltimore, Maryland 21209
(39.37418286500048, -76.66979575799968)",
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Charles County Hilton,12796.30,10385 O'Donnell Pl,Waldorf,MD,20601,"10385 O'Donnell Pl
Waldorf, Maryland 20601
(38.61876532700046, -76.93259640299965)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Office building,6398.15,8201 16th Street,Silver Spring,MD,20910,"8201 16th Street
Silver Spring, Maryland 20910
(38.99221662400049, -77.03609478199968)",Public
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,SHA Refueling Station,,7491 Connelley Drive,Hanover,MD,21076,"7491 Connelley Drive
Hanover, Maryland 21076
(39.15996168200047, -76.68031103599964)",Private
E-85 Refueling Stations,http://energy.maryland.gov/Transportation/e85Refueling.html,Germantown W Express,,20510 Germantown Road,Germantown,MD,20876,"20510 Germantown Road
Germantown, Maryland 20876
(39.19188257200045, -77.24445702199966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,3801 Liberty Heights Ave,Baltimore,MD,21215,"3801 Liberty Heights Ave
Baltimore, Maryland 21215
(39.327213945000494, -76.68200944799963)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,BGE Lord Baltimore Building,12796.30,2900 Lord Baltimore Dr,Baltimore,MD,21202,"2900 Lord Baltimore Dr
Baltimore, Maryland 21202
(39.29527322000047, -76.61013883199968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Rockwall II,,5515 Security Ln,Rockville,MD,20852,"5515 Security Ln
Rockville, Maryland 20852
(39.04184611600044, -77.11094169999967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,First Field Shopping Center,,505 Quince Orchard Rd,Gaithersburg,MD,20878,"505 Quince Orchard Rd
Gaithersburg, Maryland 20878
(39.144689325000456, -77.22016843499966)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Water Street Garage,14929.56,414 Water St,Baltimore,MD,21202,"414 Water St
Baltimore, Maryland 21202
(39.28864838600049, -76.60922155799966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Spinnaker Garage,,707 President St,Baltimore,MD,21202,"707 President St
Baltimore, Maryland 21202
(39.28289226600049, -76.60136411399964)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,University of Maryland - Shady Grove,,9630 Gudelsky Dr,Rockville,MD,20850,"9630 Gudelsky Dr
Rockville, Maryland 20850
(39.09254287400046, -77.19793140899964)",Public
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Lexington Street Garage,14929.56,510 E Lexington St,Baltimore,MD,21202,"510 E Lexington St
Baltimore, Maryland 21202
(39.29133818000048, -76.60834154199966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Olde Towne Youth Center - Gaithersburg,,301 Teachers Way,Gaithersburg,MD,20877,"301 Teachers Way
Gaithersburg, Maryland 20877
(39.14255284400048, -77.18270759899963)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,169.80,,Lutherville,MD,21093,"Lutherville, Maryland 21093
(39.44222130600048, -76.63706917599967)",
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Darcars Nissan - College Park,,9330 Baltimore Ave,College Park,MD,20740,"9330 Baltimore Ave
College Park, Maryland 20740
(39.00780948200048, -76.92953446399963)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,240.00,,Silver Spring,MD,20910,"Silver Spring, Maryland 20910
(38.99797056400047, -77.03249943599963)",
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Baltimore Washington International Airport (BWI) - Daily Parking Garage,25592.60,7062 Elm Rd,Baltimore,MD,21240,"7062 Elm Rd
Baltimore, Maryland 21240
(39.18851128500046, -76.67579522499966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,City of Towson - Administrative Building,,7764-7788 MD 45,Towson,MD,21204,"7764-7788 MD 45
Towson, Maryland 21204
(39.38389278800048, -76.60700878199964)",Public
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,144.22,,Reisterstown,MD,21136,"Reisterstown, Maryland 21136
(39.46183031600049, -76.81510577599965)",
Residential Electric Vehicle Supply Equipment Tax Credit Program,http://energy.maryland.gov/Transportation/evse/,,159.80,,Boyds,MD,20841,"Boyds, Maryland 20841
(39.188360015000455, -77.32613925299967)",
Electric Vehicle Infrastructure Program (EVIP),http://energy.maryland.gov/Transportation/electric.html,Frederick Community College,12796.30,7932 Opossumtown Pike,Frederick,MD,21702,"7932 Opossumtown Pike
Frederick, Maryland 21702
(39.450968540000474, -77.41321814199966)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1201 E Churchville Rd,Bel Air,MD,21014,"1201 E Churchville Rd
Bel Air, Maryland 21014
(39.543185107000454, -76.32693767399968)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Walgreens,,1930 Pulaski Hwy,Edgewood,MD,21040,"1930 Pulaski Hwy
Edgewood, Maryland 21040
(39.435337510000465, -76.31533519799967)",Public
Electric Vehicle Charging Stations,http://www.afdc.energy.gov/locator/stations/,Qiagen Sciences,,19300 Germantown Rd,Germantown,MD,20874,"19300 Germantown Rd
Germantown, Maryland 20874
(39.17200299500047, -77.27688980899967)",Public
